toIsContract_0,toIsContract_1,blockNumber,timestamp,value,gasLimit,gasPrice,gasUsed,isError
1,0,696702,1450202094,2e+18,90000,50000000000.0,21000,0
0,1,697030,1450207290,1.0,250000,52000000000.0,186446,0
1,0,697391,1450213762,1.43e+18,21000,71986792679.0,21000,0
1,0,696271,1450194862,6.5e+18,90000,50000000000.0,21000,0
0,1,697383,1450213494,1.0,250000,52000000000.0,186382,0
0,1,696330,1450195924,1.0,250000,52000000000.0,186446,0
0,1,696160,1450193042,1.0,250000,52000000000.0,186382,0
1,0,696116,1450192321,9.99e+17,90000,50000000000.0,21000,0
1,0,697380,1450213449,3.19e+18,25000,50000000000.0,21000,0
1,0,696867,1450204685,7.03e+18,90000,50000000000.0,21000,0
1,0,696058,1450191127,3.04e+18,21000,60000000000.0,21000,0
1,0,697069,1450207901,1.8e+16,90000,50000000000.0,21000,0
0,1,696506,1450199071,1.0,250000,52000000000.0,186318,0
0,1,696469,1450198391,1.0,250000,52000000000.0,186446,0
0,1,696229,1450194071,1.0,250000,52000000000.0,186446,0
0,1,697099,1450208439,1.0,250000,52000000000.0,186446,0
0,1,696427,1450197689,1.0,250000,52000000000.0,186446,0
0,1,696692,1450201935,1.0,250000,52000000000.0,186446,0
0,1,697244,1450210891,0.0,200000,50000000000.0,58930,0
1,0,697369,1450213258,4.49e+17,25000,50000000000.0,21000,0
0,1,696970,1450206187,1.0,250000,52000000000.0,186446,0
0,1,696676,1450201762,1.0,250000,52000000000.0,186382,0
0,1,697399,1450213863,0.0,90000,57661658451.0,59626,0
1,0,697383,1450213494,8.28e+17,25000,50000000000.0,21000,0
1,0,696687,1450201899,1.04e+18,90000,50000000000.0,21000,0
0,1,696315,1450195562,1.0,250000,52000000000.0,186446,0
1,0,697372,1450213321,1.02e+18,90000,50000000000.0,21000,0
0,1,697192,1450209987,1.0,250000,52000000000.0,94987,0
1,0,697372,1450213321,6.33e+18,90000,50000000000.0,21000,0
0,1,696400,1450197203,1.0,250000,52000000000.0,186318,0
0,1,697412,1450214147,0.0,90000,56540427731.0,90000,1
1,0,696734,1450202592,1.13e+19,90000,50000000000.0,21000,0
1,0,697380,1450213449,4.8e+17,25000,50000000000.0,21000,0
0,1,696903,1450205125,1.0,250000,52000000000.0,186446,0
1,0,697383,1450213494,2.95e+19,22050,54170635748.0,21000,0
0,1,696633,1450201067,1.0,250000,52000000000.0,186382,0
0,1,696388,1450196992,1.0,250000,52000000000.0,186446,0
1,0,696245,1450194268,1.54e+18,21000,60000000000.0,21000,0
1,0,696271,1450194862,3.41e+18,90000,50000000000.0,21000,0
0,1,696611,1450200714,1.0,250000,52000000000.0,186446,0
1,0,696710,1450202220,1.05e+19,21000,50000000000.0,21000,0
0,1,696672,1450201727,1.0,250000,52000000000.0,186446,0
1,0,697409,1450214113,1e+18,21000,73041068037.0,21000,0
0,1,697407,1450214026,0.0,90000,57136937358.0,90000,1
0,1,696961,1450206074,1.0,250000,52000000000.0,186190,0
0,1,697337,1450212710,1.0,250000,52000000000.0,186190,0
1,0,697380,1450213449,1.07e+18,25000,50000000000.0,21000,0
0,1,696485,1450198656,1.0,250000,52000000000.0,186382,0
0,1,697402,1450213907,0.0,90000,57661658451.0,90000,1
0,1,697407,1450214026,0.0,90000,57136937358.0,90000,1
1,0,696718,1450202366,2.03e+19,21000,60000000000.0,21000,0
1,0,696755,1450202953,5.5e+18,90000,50000000000.0,21000,0
0,1,697138,1450209008,1.0,250000,52000000000.0,186446,0
1,0,696113,1450192257,1.12e+18,21000,60000000000.0,21000,0
0,1,696700,1450202065,1.0,250000,52000000000.0,186382,0
0,1,697387,1450213590,0.0,150000,53064977957.0,74754,0
1,0,696529,1450199437,4.95e+18,41000,50000000000.0,21000,0
0,1,697385,1450213539,0.0,150000,53064977957.0,74690,0
0,1,697387,1450213590,0.0,150000,53064977957.0,74754,0
1,0,696961,1450206074,5.01e+18,90000,50000000000.0,21000,0
0,1,696378,1450196705,1.0,250000,52000000000.0,186382,0
1,0,697393,1450213773,4.71e+18,25000,50000000000.0,21000,0
1,0,697253,1450211066,1.42e+18,90000,50000000000.0,21000,0
0,1,697406,1450214024,0.0,90000,57136937358.0,90000,1
0,1,696162,1450193061,1.0,250000,52000000000.0,186318,0
0,1,697387,1450213590,0.0,150000,53064977957.0,74690,0
0,1,696454,1450198079,1.0,250000,52000000000.0,186446,0
1,0,696303,1450195350,1.01e+18,90000,50000000000.0,21000,0
0,1,697385,1450213539,0.0,150000,53064977957.0,74754,0
0,1,697163,1450209357,1.0,250000,52000000000.0,186318,0
0,1,697346,1450212842,1.0,250000,52000000000.0,186446,0
0,1,696199,1450193626,1.0,250000,52000000000.0,186446,0
0,1,696134,1450192626,1.0,250000,52000000000.0,186446,0
0,1,696627,1450200997,1.0,250000,52000000000.0,45589,0
1,0,696322,1450195698,1.02e+18,90000,50000000000.0,21000,0
0,1,696257,1450194536,1.0,250000,52000000000.0,95051,0
0,1,697419,1450214339,0.0,90000,56024213625.0,90000,1
1,0,697380,1450213449,4.6e+17,25000,50000000000.0,21000,0
1,0,696163,1450193093,1.08e+18,21000,60000000000.0,21000,0
0,1,696233,1450194154,1.0,250000,52000000000.0,121250,0
1,0,696271,1450194862,1.42e+18,21000,50000000000.0,21000,0
1,0,696287,1450195107,1.22e+18,21000,60000000000.0,21000,0
0,1,696635,1450201104,1.0,250000,52000000000.0,118539,0
0,1,697417,1450214322,0.0,90000,56540427731.0,90000,1
1,0,696735,1450202636,1.4e+20,21000,500000000000.0,21000,0
0,1,697150,1450209248,1.0,250000,52000000000.0,186446,0
1,0,696821,1450204083,4.03e+18,90000,50000000000.0,21000,0
0,1,696851,1450204479,1.0,250000,52000000000.0,186382,0
1,0,697219,1450210414,1.29e+18,90000,50000000000.0,21000,0
0,1,696322,1450195698,1.0,250000,52000000000.0,186382,0
0,1,697178,1450209655,0.0,200000,50000000000.0,58930,0
0,1,696633,1450201067,1.0,250000,52000000000.0,45525,0
0,1,696681,1450201860,1.0,250000,52000000000.0,186446,0
0,1,696473,1450198455,1.0,250000,52000000000.0,186446,0
0,1,697407,1450214026,0.0,90000,57136937358.0,90000,1
1,0,696623,1450200933,1.04e+18,21000,60000000000.0,21000,0
0,1,697301,1450212015,1.0,250000,52000000000.0,186318,0
0,1,697411,1450214125,0.0,90000,56540427731.0,90000,1
0,1,696192,1450193542,1.0,250000,52000000000.0,186382,0
1,0,697380,1450213449,1.79e+19,25000,50000000000.0,21000,0
1,0,697409,1450214113,1.23e+18,90000,63526411713.0,21000,0
0,1,696217,1450193891,1.0,250000,52000000000.0,186446,0
1,0,697380,1450213449,1.07e+17,25000,50000000000.0,21000,0
0,1,697399,1450213863,0.0,90000,57661658451.0,90000,1
0,1,696635,1450201104,1.0,250000,52000000000.0,45525,0
1,0,697399,1450213863,1.24e+18,90000,57895747785.0,21000,0
1,0,697391,1450213762,1.47e+18,21000,71986792679.0,21000,0
1,0,697380,1450213449,4.41e+17,25000,50000000000.0,21000,0
0,1,696674,1450201745,1.0,250000,52000000000.0,186446,0
0,1,697413,1450214172,0.0,90000,56540427731.0,90000,1
0,1,696363,1450196462,1.0,250000,52000000000.0,186446,0
0,1,697415,1450214254,0.0,90000,56540427731.0,90000,1
0,1,696578,1450200188,1.0,250000,52000000000.0,186446,0
0,1,697047,1450207597,1.0,250000,52000000000.0,186446,0
0,1,697386,1450213556,0.0,150000,53064977957.0,74754,0
0,1,697157,1450209309,1.0,250000,52000000000.0,186382,0
1,0,696547,1450199718,2.5e+17,21000,50000000000.0,21000,0
0,1,696278,1450195001,1.0,250000,52000000000.0,186446,0
1,0,696248,1450194376,1.18e+18,90000,50000000000.0,21000,0
0,1,697414,1450214183,0.0,90000,56540427731.0,59754,0
0,1,696671,1450201715,1.0,250000,52000000000.0,186446,0
0,1,697320,1450212370,1.0,250000,52000000000.0,186446,0
0,1,696861,1450204628,1.0,250000,52000000000.0,186382,0
0,1,697406,1450214024,0.0,90000,57136937358.0,90000,1
1,0,696056,1450191048,1.84e+18,90000,50000000000.0,21000,0
1,0,696031,1450190562,1e+16,21000,50000000000.0,21000,0
1,0,696224,1450193979,9660000000000000.0,90000,50000000000.0,21000,0
1,0,696248,1450194376,1.07e+20,100000,50000000000.0,21000,0
0,1,696422,1450197619,0.0,200000,50000000000.0,58994,0
0,1,697404,1450213994,0.0,90000,57661658451.0,90000,1
1,0,696259,1450194567,1.11e+18,90000,50000000000.0,21000,0
0,1,697127,1450208805,1.0,250000,52000000000.0,54463,0
0,1,696691,1450201927,1.0,250000,52000000000.0,186382,0
0,1,697401,1450213897,0.0,90000,57661658451.0,90000,1
0,1,697399,1450213863,0.0,90000,57661658451.0,90000,1
1,0,697380,1450213449,1.73e+19,25000,50000000000.0,21000,0
0,1,697408,1450214044,0.0,90000,57136937358.0,90000,1
1,0,697211,1450210226,1.03e+18,21000,60000000000.0,21000,0
1,0,696714,1450202292,1.57e+19,90000,50000000000.0,21000,0
0,1,696143,1450192715,1.0,250000,52000000000.0,186446,0
0,1,696400,1450197203,1.0,250000,52000000000.0,186382,0
0,1,696434,1450197812,1.0,250000,52000000000.0,186254,0
0,1,696290,1450195146,1.0,250000,52000000000.0,186382,0
0,1,696365,1450196505,1.0,250000,52000000000.0,186318,0
0,1,697407,1450214026,0.0,90000,57136937358.0,90000,1
1,0,697389,1450213624,5.95e+18,21000,73206425136.0,21000,0
0,1,696770,1450203167,1.0,250000,52000000000.0,186318,0
0,1,696671,1450201715,1.0,250000,52000000000.0,186446,0
1,0,696720,1450202395,4.99e+18,21000,60000000000.0,21000,0
1,0,697389,1450213624,1.07e+18,21000,73206425136.0,21000,0
1,0,696283,1450195080,1.22e+19,21000,60000000000.0,21000,0
0,1,696346,1450196174,1.0,250000,52000000000.0,186382,0
0,1,696637,1450201115,1.0,250000,52000000000.0,186382,0
0,1,697360,1450213114,1.0,250000,52000000000.0,186446,0
0,1,696633,1450201067,1.0,250000,52000000000.0,45589,0
0,1,696158,1450193013,1.0,250000,52000000000.0,186382,0
0,1,697416,1450214304,0.0,90000,56540427731.0,90000,1
1,0,697205,1450210139,1.03e+18,90000,50000000000.0,21000,0
0,1,697401,1450213897,0.0,90000,57661658451.0,59754,0
0,1,697418,1450214330,0.0,90000,56540427731.0,59754,0
1,0,697380,1450213449,2.23e+19,25000,50000000000.0,21000,0
1,0,696214,1450193834,1.51e+18,90000,50000000000.0,21000,0
1,0,696280,1450195030,1.33e+19,21000,500000000000.0,21000,0
0,1,696492,1450198749,1.0,250000,52000000000.0,186446,0
0,1,696080,1450191681,1.0,250000,52000000000.0,186318,0
1,0,696721,1450202405,2.05e+19,90000,50000000000.0,21000,0
1,0,696748,1450202789,4.96e+18,41000,50000000000.0,21000,0
1,0,696271,1450194862,1.19e+19,90000,50000000000.0,21000,0
1,0,696474,1450198484,1.04e+18,21000,50000000000.0,21000,0
0,1,697408,1450214044,0.0,90000,57136937358.0,90000,1
0,1,697419,1450214339,0.0,90000,56024213625.0,90000,1
1,0,696980,1450206307,3.53e+18,21000,60000000000.0,21000,0
0,1,696631,1450201028,1.0,250000,52000000000.0,45525,0
1,0,696784,1450203388,1.32e+19,21000,60000000000.0,21000,0
0,1,696382,1450196904,1.0,250000,52000000000.0,186446,0
0,1,696668,1450201642,1.0,250000,52000000000.0,186446,0
0,1,697415,1450214254,0.0,90000,56540427731.0,90000,1
0,1,696790,1450203616,0.0,200000,50000000000.0,58994,0
0,1,696455,1450198121,1.0,250000,52000000000.0,186446,0
0,1,696323,1450195736,1.0,250000,52000000000.0,186446,0
1,0,697395,1450213809,3.64e+18,21000,69478704050.0,21000,0
0,1,697150,1450209248,1.0,250000,52000000000.0,186446,0
0,1,696970,1450206187,1.0,250000,52000000000.0,186382,0
0,1,697414,1450214183,0.0,90000,56540427731.0,90000,1
1,0,697097,1450208409,3.18e+18,22050,50000000000.0,21000,0
1,0,697184,1450209731,2.14e+19,21000,60000000000.0,21000,0
0,1,697413,1450214172,0.0,90000,56540427731.0,59754,0
0,1,696374,1450196610,1.0,250000,52000000000.0,186382,0
1,0,696913,1450205352,1.01e+18,90000,50000000000.0,21000,0
0,1,697401,1450213897,0.0,90000,57661658451.0,90000,1
1,0,697165,1450209396,1.27e+18,21000,60000000000.0,21000,0
0,1,697385,1450213539,0.0,150000,53064977957.0,74754,0
0,1,697205,1450210139,1.0,250000,52000000000.0,186318,0
0,1,696099,1450191980,1.0,250000,52000000000.0,186446,0
0,1,697376,1450213412,1.0,250000,52000000000.0,186382,0
0,1,697415,1450214254,0.0,90000,56540427731.0,90000,1
0,1,696992,1450206565,1.0,250000,52000000000.0,186318,0
0,1,696114,1450192265,1.0,250000,52000000000.0,186382,0
0,1,697386,1450213556,0.0,150000,53064977957.0,74626,0
0,1,697017,1450206882,1.0,250000,52000000000.0,186446,0
1,0,697377,1450213417,1.15e+18,25000,50000000000.0,21000,0
0,1,696855,1450204552,1.0,250000,52000000000.0,186446,0
0,1,696247,1450194340,1.0,250000,52000000000.0,186446,0
0,1,696606,1450200646,1.0,250000,52000000000.0,186382,0
0,1,696383,1450196913,1.0,250000,52000000000.0,186382,0
0,1,696355,1450196314,1.0,250000,52000000000.0,186318,0
1,0,696283,1450195080,1.04e+18,21000,60000000000.0,21000,0
1,0,697391,1450213762,1.17e+18,90000,61578081924.0,21000,0
0,1,697418,1450214330,0.0,90000,56540427731.0,90000,1
0,1,696293,1450195208,1.0,250000,52000000000.0,186446,0
1,0,697380,1450213449,2.1e+18,25000,50000000000.0,21000,0
0,1,696210,1450193774,1.0,250000,52000000000.0,186446,0
0,1,696872,1450204739,1.0,250000,52000000000.0,181446,0
0,1,696113,1450192257,1.0,250000,52000000000.0,186446,0
0,1,697420,1450214360,0.0,90000,56024213625.0,90000,1
0,1,696924,1450205544,1.0,250000,52000000000.0,186446,0
0,1,697375,1450213399,1.0,250000,52000000000.0,186446,0
1,0,697304,1450212138,1.17e+18,90000,50000000000.0,21000,0
0,1,696873,1450204768,1.0,250000,52000000000.0,186446,0
0,1,696403,1450197233,1.0,250000,52000000000.0,186446,0
0,1,696632,1450201053,1.0,250000,52000000000.0,45461,0
1,0,696502,1450199008,1.04e+18,21000,60000000000.0,21000,0
1,0,696034,1450190624,5.29e+18,90000,50000000000.0,21000,0
0,1,697406,1450214024,0.0,90000,57136937358.0,90000,1
0,1,696669,1450201676,1.0,250000,52000000000.0,186318,0
0,1,696103,1450192010,1.0,250000,52000000000.0,186318,0
0,1,696382,1450196904,1.0,250000,52000000000.0,186446,0
