toIsContract_0,toIsContract_1,blockNumber,timestamp,value,gasLimit,gasPrice,gasUsed,isError
0,1,696149,1450192807,1.0,250000,52000000000.0,186318,0
0,1,696671,1450201715,1.0,250000,52000000000.0,186382,0
0,1,697403,1450213978,0.0,90000,57661658451.0,59690,0
0,1,696112,1450192187,1.0,250000,52000000000.0,186318,0
1,0,696980,1450206307,9.99e+17,90000,50000000000.0,21000,0
0,1,697400,1450213885,0.0,90000,57661658451.0,90000,1
1,0,697391,1450213762,9.11e+18,21000,71986792679.0,21000,0
0,1,696326,1450195805,1.0,250000,52000000000.0,186318,0
0,1,696217,1450193891,1.0,250000,52000000000.0,186446,0
0,1,697386,1450213556,0.0,150000,53064977957.0,74690,0
0,1,696787,1450203486,1.0,250000,52000000000.0,186382,0
0,1,696186,1450193443,1.0,250000,52000000000.0,186382,0
1,0,697380,1450213449,4.96e+18,25000,50000000000.0,21000,0
0,1,697415,1450214254,0.0,90000,56540427731.0,59690,0
1,0,697172,1450209500,3.01e+19,90000,50000000000.0,21000,0
0,1,697094,1450208349,1.0,250000,52000000000.0,186382,0
1,0,696623,1450200933,5e+18,21000,50000000000.0,21000,0
0,1,696605,1450200622,0.0,200000,50000000000.0,58994,0
0,1,696353,1450196294,1.0,250000,52000000000.0,186382,0
1,0,697157,1450209309,1.77e+18,90000,50000000000.0,21000,0
0,1,696861,1450204628,1.0,250000,52000000000.0,186446,0
1,0,697332,1450212618,2.36e+18,90000,50000000000.0,21000,0
0,1,696605,1450200622,1.0,250000,52000000000.0,186446,0
0,1,697057,1450207772,1.0,250000,52000000000.0,186254,0
1,0,697409,1450214113,1.28e+18,21000,73041068037.0,21000,0
0,1,697044,1450207568,1.0,250000,52000000000.0,186318,0
1,0,696519,1450199244,1.01e+18,90000,50000000000.0,21000,0
0,1,697407,1450214026,0.0,90000,57136937358.0,90000,1
0,1,696447,1450197938,1.0,250000,52000000000.0,186446,0
1,0,696434,1450197812,1.39e+18,90000,50000000000.0,21000,0
1,0,696274,1450194913,1.08e+18,90000,50000000000.0,21000,0
0,1,696279,1450195013,1.0,250000,52000000000.0,186382,0
0,1,697398,1450213858,0.0,90000,57661658451.0,90000,1
1,0,697394,1450213792,1.25e+18,90000,61009389171.0,21000,0
1,0,696739,1450202686,1.1e+19,90000,50000000000.0,21000,0
0,1,697399,1450213863,0.0,90000,57661658451.0,90000,1
0,1,697406,1450214024,0.0,90000,57136937358.0,90000,1
0,1,696191,1450193537,1.0,250000,52000000000.0,186382,0
0,1,696771,1450203185,1.0,250000,52000000000.0,186446,0
0,1,697409,1450214113,0.0,90000,57136937358.0,90000,1
0,1,697256,1450211181,1.0,250000,52000000000.0,186446,0
0,1,697414,1450214183,0.0,90000,56540427731.0,90000,1
0,1,697402,1450213907,0.0,90000,57661658451.0,59690,0
1,0,697154,1450209290,1.45e+18,90000,50000000000.0,21000,0
0,1,696627,1450200997,1.0,250000,52000000000.0,45589,0
1,0,696165,1450193102,1.07e+18,90000,50000000000.0,21000,0
0,1,696765,1450203080,1.0,250000,52000000000.0,186382,0
1,0,697158,1450209311,1.08e+16,21000,50000000000.0,21000,0
0,1,697316,1450212319,1.0,250000,52000000000.0,186382,0
0,1,696505,1450199052,1.0,250000,52000000000.0,186254,0
0,1,696673,1450201739,1.0,250000,52000000000.0,186446,0
0,1,697413,1450214172,0.0,90000,56540427731.0,90000,1
0,1,696581,1450200242,1.0,250000,52000000000.0,186446,0
0,1,697350,1450212932,1.0,250000,52000000000.0,186446,0
1,0,696265,1450194743,4.95e+18,41000,50000000000.0,21000,0
1,0,696245,1450194268,3.41e+18,90000,50000000000.0,21000,0
1,0,696970,1450206187,2.5e+18,90000,50000000000.0,21000,0
0,1,697398,1450213858,0.0,90000,57661658451.0,90000,1
0,1,696493,1450198757,1.0,250000,52000000000.0,186382,0
0,1,696903,1450205125,1.0,250000,52000000000.0,186446,0
0,1,697418,1450214330,0.0,90000,56540427731.0,59690,0
0,1,696629,1450201018,1.0,250000,52000000000.0,45589,0
0,1,696419,1450197580,1.0,250000,52000000000.0,186446,0
1,0,697110,1450208534,3.32e+18,21000,60000000000.0,21000,0
0,1,697397,1450213834,0.0,90000,58215285819.0,90000,1
0,1,696041,1450190773,1.0,250000,52000000000.0,36771,0
0,1,697414,1450214183,0.0,90000,56540427731.0,90000,1
0,1,696422,1450197619,1.0,250000,52000000000.0,186446,0
0,1,696753,1450202890,1.0,250000,52000000000.0,186382,0
1,0,696103,1450192010,1.47e+18,90000,50000000000.0,21000,0
0,1,697399,1450213863,0.0,90000,57661658451.0,90000,1
0,1,696652,1450201338,1.0,250000,52000000000.0,186446,0
1,0,696044,1450190828,1.19e+18,90000,50000000000.0,21000,0
1,0,697391,1450213762,6.81e+17,90000,61578081924.0,21000,0
1,0,696980,1450206307,5.01e+18,21000,60000000000.0,21000,0
0,1,696091,1450191886,0.0,2500000,60000000000.0,73878,0
0,1,696626,1450200990,1.0,250000,52000000000.0,186446,0
0,1,696844,1450204402,1.0,250000,52000000000.0,186446,0
1,0,696228,1450194052,3.01e+18,22050,50000000000.0,21000,0
1,0,696693,1450201946,1.24e+18,90000,50000000000.0,21000,0
0,1,696416,1450197487,1.0,250000,52000000000.0,186382,0
0,1,696737,1450202654,1.0,250000,52000000000.0,186446,0
0,1,697387,1450213590,0.0,150000,53064977957.0,74690,0
0,1,696498,1450198913,1.0,250000,52000000000.0,186446,0
0,1,697401,1450213897,0.0,90000,57661658451.0,90000,1
1,0,697154,1450209290,1.41e+18,90000,50000000000.0,21000,0
0,1,696632,1450201053,1.0,250000,52000000000.0,45589,0
0,1,696315,1450195562,1.0,250000,52000000000.0,186446,0
0,1,696110,1450192160,1.0,250000,52000000000.0,186446,0
0,1,696633,1450201067,1.0,250000,52000000000.0,45525,0
1,0,696701,1450202085,1.78e+18,21000,60000000000.0,21000,0
1,0,697167,1450209436,1.02e+19,90000,50000000000.0,21000,0
1,0,697152,1450209280,1.27e+18,90000,50000000000.0,21000,0
1,0,696517,1450199209,1.01e+18,90000,50000000000.0,21000,0
1,0,696957,1450205970,5.13e+18,41000,50000000000.0,21000,0
0,1,696070,1450191395,1.0,250000,52000000000.0,186446,0
1,0,697365,1450213170,4.97e+18,41000,50000000000.0,21000,0
1,0,696875,1450204790,1.84e+16,90000,50000000000.0,21000,0
1,0,696698,1450202043,2.39e+19,90000,50000000000.0,21000,0
1,0,697193,1450209997,3.64e+19,21000,60000000000.0,21000,0
1,0,696981,1450206314,1.63e+16,21000,50000000000.0,21000,0
1,0,696739,1450202686,1.82e+18,90000,50000000000.0,21000,0
0,1,696768,1450203142,0.0,189408,50000000000.0,89408,0
1,0,696090,1450191873,1.14e+18,22050,50000000000.0,21000,0
0,1,696629,1450201018,1.0,250000,52000000000.0,45525,0
0,1,697387,1450213590,0.0,150000,53064977957.0,74626,0
1,0,697381,1450213462,2.45e+19,25000,50000000000.0,21000,0
0,1,696647,1450201278,1.0,250000,52000000000.0,186446,0
1,0,696501,1450198978,4.81e+18,22050,50000000000.0,21000,0
0,1,696327,1450195819,1.0,250000,52000000000.0,186446,0
0,1,697187,1450209773,1.0,250000,52000000000.0,186446,0
0,1,697412,1450214147,0.0,90000,56540427731.0,90000,1
0,1,697409,1450214113,0.0,90000,57136937358.0,90000,1
1,0,696987,1450206491,3.36e+18,90000,50000000000.0,21000,0
0,1,696220,1450193915,1.0,250000,52000000000.0,186446,0
0,1,697415,1450214254,0.0,90000,56540427731.0,90000,1
0,1,696833,1450204230,0.0,200000,50000000000.0,58994,0
0,1,697417,1450214322,0.0,90000,56540427731.0,90000,1
1,0,697390,1450213666,2.64e+18,21000,73206425136.0,21000,0
0,1,697408,1450214044,0.0,90000,57136937358.0,90000,1
1,0,697161,1450209339,3.03e+18,90000,50000000000.0,21000,0
0,1,696749,1450202823,1.0,250000,52000000000.0,186318,0
0,1,697412,1450214147,0.0,90000,56540427731.0,90000,1
1,0,696701,1450202085,2.39e+19,21000,60000000000.0,21000,0
0,1,696710,1450202220,1.0,250000,52000000000.0,186446,0
0,1,697087,1450208207,1.0,250000,52000000000.0,186446,0
0,1,696432,1450197735,1.0,250000,52000000000.0,186382,0
0,1,697411,1450214125,0.0,90000,56540427731.0,90000,1
1,0,697383,1450213494,3.95e+18,25000,50000000000.0,21000,0
0,1,696268,1450194820,1.0,250000,52000000000.0,186382,0
